SiteCollection,Site,List,LastModified,TotalFileCount,TotalFileStreamSize,TotalSize,VersionSize
https://m365x79132763-my.sharepoint.com/,https://m365x79132763-my.sharepoint.com,Form Templates,21/09/2023 23:06,0,0,0,0
https://m365x79132763-my.sharepoint.com/,https://m365x79132763-my.sharepoint.com,Style Library,25/09/2023 17:24,0,0,0,0
https://m365x79132763.sharepoint.com/,https://m365x79132763.sharepoint.com,Contoso brand assets,25/09/2023 17:25,2,0.020175934,0.061404228,0.041228294
https://m365x79132763.sharepoint.com/,https://m365x79132763.sharepoint.com,Dashboard assets,25/09/2023 17:25,57,6.827291489,10.08626938,3.25897789
https://m365x79132763.sharepoint.com/,https://m365x79132763.sharepoint.com,Demo Docs,25/09/2023 17:25,8,0.685311317,0.758138657,0.072827339
https://m365x79132763.sharepoint.com/,https://m365x79132763.sharepoint.com,Documents,25/09/2023 17:25,22,35.5523901,78.16487217,42.61248207
https://m365x79132763.sharepoint.com/,https://m365x79132763.sharepoint.com,Form Templates,21/09/2023 22:23,0,0,0,0
https://m365x79132763.sharepoint.com/,https://m365x79132763.sharepoint.com,JT Design Documents,25/09/2023 17:25,3,3.996620178,4.038500786,0.041880608
https://m365x79132763.sharepoint.com/,https://m365x79132763.sharepoint.com,MCAS Demo Files,25/09/2023 17:25,5,0.204723358,0.684459686,0.479736328
https://m365x79132763.sharepoint.com/,https://m365x79132763.sharepoint.com,RMS Demo Library,25/09/2023 17:25,11,4.682198524,4.756961823,0.074763298
https://m365x79132763.sharepoint.com/,https://m365x79132763.sharepoint.com,Site Assets,29/09/2023 14:31,95,82.28268051,107.7472439,25.46456337
https://m365x79132763.sharepoint.com/,https://m365x79132763.sharepoint.com,Style Library,1/07/2023 13:11,0,0,0,0
https://m365x79132763.sharepoint.com/sites/allcompany,https://m365x79132763.sharepoint.com/sites/allcompany,Documents,8/08/2023 16:45,0,0,0,0
https://m365x79132763.sharepoint.com/sites/allcompany,https://m365x79132763.sharepoint.com/sites/allcompany,Site Assets,16/10/2023 16:40,2,0.014163017,0.065529823,0.051366806
https://m365x79132763.sharepoint.com/sites/askhr,https://m365x79132763.sharepoint.com/sites/askhr,Documents,8/08/2023 16:45,0,0,0,0
https://m365x79132763.sharepoint.com/sites/benefits,https://m365x79132763.sharepoint.com/sites/benefits,Documents,25/09/2023 17:26,3,0.432065964,0.907236099,0.475170135
https://m365x79132763.sharepoint.com/sites/benefits,https://m365x79132763.sharepoint.com/sites/benefits,Site Assets,25/09/2023 17:26,16,24.2046957,35.61753368,11.41283798
